gene,tumor_r,normal_r,delta_r
WDTC1,0.3183,0.0714,0.2469
POC1A,0.237,-0.0098,0.2468
USP8,0.27,0.0234,0.2466
TINF2,0.3253,0.0788,0.2465
AXIN1,0.3574,0.1115,0.2459
DNAJB6,0.4141,0.1683,0.24580000000000002
ADAMTS9,0.5464,0.3007,0.24569999999999997
FAM53C,0.1189,-0.1266,0.2455
CASC3,0.3123,0.067,0.24530000000000002
RBM15B,0.3733,0.128,0.24530000000000002
RTTN,-0.0024,-0.2473,0.24489999999999998
LAMB1,0.4382,0.1934,0.2448
DGCR6L,-0.1516,-0.3964,0.24479999999999996
HAVCR2,0.5728,0.3282,0.24459999999999998
RAB3IP,0.4118,0.1675,0.2443
UBE2V2,0.1559,-0.0883,0.24420000000000003
SOD2,0.5175,0.2733,0.24419999999999997
CDC42EP5,0.6311,0.3869,0.24419999999999997
ABCD4,0.3794,0.1355,0.2439
CLCN6,0.2373,-0.0061,0.2434
PVALB,0.4756,0.2323,0.24330000000000002
UBE2Q1,0.5966,0.3534,0.24320000000000003
SAR1A,0.2327,-0.0102,0.2429
MSL2,0.4482,0.2055,0.2427
DNPH1,0.3943,0.1519,0.24239999999999998
RGS14,0.3749,0.1326,0.24230000000000002
GATAD2B,0.6295,0.3873,0.24219999999999997
ACSL1,0.7184,0.4763,0.24210000000000004
FURIN,0.0944,-0.1477,0.24209999999999998
CDC123,0.4859,0.2441,0.2418
BCL3,0.6345,0.3927,0.24179999999999996
MAP3K2,0.2655,0.0238,0.24170000000000003
SNX30,0.6489,0.4073,0.24160000000000004
KIF7,0.7101,0.4687,0.24139999999999995
CEP170B,0.105,-0.136,0.241
RNH1,0.1514,-0.0895,0.2409
CCS,0.2635,0.0229,0.2406
DAPK2,0.724,0.4834,0.24059999999999998
RAE1,0.1739,-0.0667,0.24059999999999998
