gene,tumor_r,normal_r,delta_r
POLR2L,-0.2269,-0.3606,0.13369999999999999
MYO15B,-0.0982,-0.2319,0.13369999999999999
CDC73,0.4008,0.2672,0.1336
HNRNPAB,0.3327,0.1992,0.1335
COX19,-0.1145,-0.2479,0.13340000000000002
CNOT11,0.4097,0.2764,0.13330000000000003
FOXF1,0.1921,0.0588,0.1333
USO1,0.293,0.1599,0.1331
FBLL1,0.1673,0.0345,0.1328
C19orf47,0.2081,0.0754,0.1327
FKBP1B,-0.1765,-0.3091,0.1326
PXYLP1,0.4623,0.3297,0.1326
CENPO,0.2288,0.0963,0.1325
ADIPOR1,0.1935,0.0611,0.13240000000000002
FXN,0.3903,0.2579,0.13239999999999996
CLINT1,0.5048,0.3725,0.13230000000000003
RBMX2,0.288,0.1558,0.13219999999999998
TERF1,0.0239,-0.1082,0.1321
SNX3,0.3658,0.2338,0.132
VAMP8,0.5082,0.3762,0.132
SPTBN1,0.2559,0.1239,0.132
LAMTOR3,0.3759,0.244,0.13190000000000002
CCDC120,0.6884,0.5565,0.13190000000000002
NABP2,0.3043,0.1724,0.13190000000000002
TAF12,-0.0382,-0.17,0.13180000000000003
PLEKHH2,0.3206,0.1888,0.1318
DCTN1,0.0559,-0.0758,0.1317
PRKAR1A,-0.1746,-0.3063,0.1317
ENOPH1,0.2213,0.0896,0.13169999999999998
ACD,-0.0038,-0.135,0.1312
BBS2,0.1631,0.0319,0.13119999999999998
PERM1,0.2612,0.13,0.13119999999999998
TPM3,0.3048,0.1737,0.13110000000000002
KMT2B,0.2627,0.1316,0.1311
NUP214,0.3757,0.2446,0.13109999999999997
LCMT2,0.3233,0.1923,0.13099999999999998
RRP15,0.4284,0.2975,0.13090000000000002
PUSL1,0.1559,0.025,0.13090000000000002
ABCA6,0.4769,0.346,0.13090000000000002
C8G,0.0796,-0.0512,0.1308
TNFAIP8L1,0.1624,0.0316,0.13079999999999997
HP1BP3,0.0164,-0.1143,0.1307
LIPT1,0.0517,-0.079,0.1307
NCOA3,0.5111,0.3804,0.13069999999999998
SENP2,0.1611,0.0305,0.1306
RBM23,0.2938,0.1632,0.1306
PLEK,0.442,0.3115,0.1305
TOMM40L,0.4415,0.311,0.1305
SNX24,0.338,0.2076,0.13040000000000002
CCDC61,0.3808,0.2504,0.13040000000000002
NAA11,0.2746,0.1443,0.1303
EVPLL,-0.2589,-0.389,0.1301
TENT5A,-0.0023,-0.1323,0.13
IFT57,0.0244,-0.1055,0.1299
PRICKLE2,0.5334,0.4035,0.12989999999999996
MTA2,0.0903,-0.0395,0.1298
TAF10,0.01,-0.1198,0.1298
PPP1CB,0.2784,0.1487,0.12969999999999998
PHACTR2,0.2467,0.1171,0.1296
TXNDC12,0.3149,0.1854,0.1295
PPP1R12A,0.3401,0.2107,0.12940000000000002
ATXN2L,0.2348,0.1054,0.12940000000000002
ABHD17A,0.1752,0.0458,0.1294
C6orf141,0.615,0.4857,0.12929999999999997
TOMM34,0.7192,0.5901,0.1291
KLHL25,-0.1408,-0.2698,0.12899999999999998
CTSO,0.4831,0.3543,0.12879999999999997
ZSCAN20,0.167,0.0384,0.12860000000000002
TTC14,0.2564,0.1278,0.12860000000000002
PPP4R3B,0.218,0.0894,0.1286
ARFGEF2,0.4805,0.352,0.1285
CASKIN2,0.2688,0.1403,0.12849999999999998
PFKM,0.5907,0.4623,0.12840000000000001
BAHCC1,-0.2382,-0.3665,0.1283
AKAP8L,0.5445,0.4162,0.12829999999999997
SH2D3C,0.4731,0.3449,0.12820000000000004
TRAPPC2L,0.229,0.1008,0.1282
TRA2B,0.1612,0.033,0.1282
KIF20B,0.4779,0.3497,0.12819999999999998
FBXO28,0.2309,0.1027,0.12819999999999998
PELI1,0.4399,0.312,0.1279
TRIT1,0.3401,0.2122,0.1279
SETX,0.4561,0.3283,0.12780000000000002
TCF7,0.1979,0.0702,0.12769999999999998
SUPT20H,-0.0038,-0.1314,0.1276
AARSD1,0.0213,-0.1061,0.1274
SNRPD2,0.2828,0.1554,0.12739999999999999
KNG1,-0.0453,-0.1726,0.1273
NFYC,-0.1322,-0.2595,0.1273
PMPCA,0.4688,0.3415,0.12729999999999997
NRIP1,0.474,0.3467,0.12729999999999997
URB2,0.4205,0.2932,0.12729999999999997
MAPK8IP3,0.4514,0.3242,0.12720000000000004
UGP2,0.4703,0.3431,0.12719999999999998
VPS29,0.0474,-0.0798,0.12719999999999998
EXOSC2,0.3347,0.2076,0.1271
ARL13A,-0.0401,-0.1672,0.1271
CWC25,0.2846,0.1576,0.12700000000000003
REV3L,0.2594,0.1327,0.1267
SLIRP,0.1334,0.0067,0.12669999999999998
USP8,0.7111,0.5844,0.12669999999999992
AVIL,0.2513,0.1247,0.12660000000000002
TMEM129,-0.0422,-0.1682,0.126
PPCDC,0.4089,0.2829,0.126
BRIX1,0.6026,0.4766,0.126
APH1A,0.0188,-0.1071,0.1259
MYH4,0.3198,0.1939,0.12589999999999998
CLSPN,0.3804,0.2546,0.12580000000000002
RARS1,0.6537,0.5279,0.1257999999999999
COL11A2,0.2288,0.1031,0.1257
BCLAF1,0.1345,0.0088,0.1257
ERCC1,0.1761,0.0505,0.1256
GPN1,0.3786,0.253,0.1256
DNAJC8,0.4051,0.2796,0.1255
HNRNPDL,0.114,-0.0115,0.1255
BCO2,0.1288,0.0035,0.1253
MED18,0.4417,0.3164,0.12529999999999997
PCDH19,0.4915,0.3665,0.125
STK39,0.5869,0.4619,0.125
FBXL15,0.3859,0.261,0.12490000000000001
COQ10B,0.0519,-0.073,0.1249
TG,0.2207,0.0959,0.12480000000000001
F11,0.0624,-0.0624,0.1248
RWDD4,0.394,0.2694,0.12460000000000004
